,codeid,label,type,uuid
33,P0035,Arnaldus de Rupe,PERSON,6af10666-3edc-4522-9727-8c26ac126493
34,P0036,Arnaldus de Lasala,PERSON,a28898d9-b536-44a8-989e-6386446a0e0a
35,P0037,Arnaldus de Peyre,PERSON,24b2b79f-401a-448f-8e17-8baad9cad8f7
36,P0038,Arnaldus de Primos,PERSON,9e03d567-b3a8-43f0-991f-eb9685f1dd42
37,P0039,Arnaldus de Rigaut,PERSON,5ef11c8f-1b9b-4e40-b8e6-9acec3ddaafd
38,P0040,Arnaldus de Sapiac,PERSON,2729f90d-503c-47f0-9242-771d4c6549e1
39,P0041,Arnaldus de Sapiac,PERSON,74d2fc7b-9ebc-48b4-9505-262fda977117
40,P0042,Arnaldus Johannis Davi,PERSON,b431327c-6698-4d22-bd84-038fec5dfc41
41,P0044,Arnaldus del Clusel,PERSON,b053ccd6-ffe7-431d-adfc-00d85a886af4
42,P0045,Arnaldus del Huc,PERSON,16f37c36-0181-4957-9f44-834184a654e5
43,P0046,Arnaldus Dosici,PERSON,51bacca0-518e-4ddf-87ee-5bdc715c0e3f
44,P0047,Arnaldus Fabri,PERSON,a328c481-257a-4a8c-aa0e-5e1f9606dca2
45,P0048,Arnaldus Folcautz,PERSON,e50dd56f-2f0e-48c9-b8c1-bb70e6ebaef6
46,P0049,S. Arnaldus Folcautz,PERSON,f71c6e1c-3f1e-4b02-845d-3832cf46bf34
47,P0050,Arnaldus Guillelmi de La Viga,PERSON,8a3b02be-a398-4e79-991e-b7145932ecf0
48,P0051,Arnaldus Juliani,PERSON,62f0c84e-3299-4c0a-82c4-49a99fb8ff8f
49,P0052,Arnaldus Later,PERSON,50bc6024-12f6-4ab8-b608-4d82c05a51f2
50,P0053,Arnaldus Medicus,PERSON,9da84440-fc63-406a-a392-fe596a2951b5
51,P0054,Arnaldus Maurini,PERSON,6de9278e-360c-4abf-9cac-063c73be429c
52,P0055,Arnaldus Olier,PERSON,65e19e70-7ca1-4c62-9360-7cd35e86e305
53,P0056,Arnaldus Pitavini,PERSON,137b4200-43a3-4a72-af78-11ee55be6bda
54,P0057,Arnaldus Peregrini,PERSON,a625ca8a-1b43-4ffd-a3d4-e8270dc39c51
55,P0058,Arnaldus Rector,PERSON,61913766-ef63-4e28-a5f9-940037e833d9
56,P0059,Arnaldus Rufet,PERSON,cbbb3e0a-d92e-4408-8406-a0956f0db9f1
57,P0060,Arnaldus Sarrailhier,PERSON,0c20ac7f-e5a3-4beb-abf7-b37e77edb983
58,P0061,Arnaldus Tabast,PERSON,79f0551a-a436-4338-8dd8-ca4f299044e3
59,P0062,[wife of Arnaldus Tabast],PERSON,caf54b7e-7185-4277-bb0d-0ea635cd6d4c
60,P0063,Arnaldus Verrani,PERSON,e1da8e01-0f84-4504-a6c6-96c9b51fc0a6
61,P0064,Arnaldus Vitalis,PERSON,ce7cf6f9-edfd-4121-a025-594d1aff8c39
62,P0065,Arnalda,PERSON,c5d6d9a2-b1da-498d-a85b-2dc264100344
63,P0067,Arnalda,PERSON,d94761cf-bdfa-4e1b-bce3-91bdfb321ff6
64,P0068,Arnalda de Joset,PERSON,0a06b741-e60a-44cb-8a88-23a45c6d08a6
65,P0069,Arnalda de La Besseda,PERSON,e7e649d2-a82d-4ce3-91f4-9b0598a278d8
66,P0070,Arnalda de Lacosta,PERSON,43d0b08d-1085-43ca-8be3-781154c710df
67,P0071,Arnalda de Lagarriga,PERSON,aa093c84-838f-4dcd-bf29-7b54720c510d
68,P0072,Arnalda de Pestilhac,PERSON,ad7f1a0d-1026-4d9b-95b6-21a4cc448844
69,P0073,Arnalda de Villanova,PERSON,1dbdde52-58f9-49a9-af6f-64bc129314d3
70,P0074,Arnalda Fabrissa,PERSON,77ff4a55-e37b-40e7-855e-f05f9222644f
71,P0075,Arnalda Sabateira,PERSON,08a72ae9-cc4c-43c6-a359-f90809950e45
72,P0076,Arnalda Textrix,PERSON,4f0f6592-d65c-4ef4-8576-0154ce80eed3
73,P0077,Arsemblaena,PERSON,6be2fb4f-e3fe-4710-8008-160d477daaec
74,P0078,Audiardis Autinadina,PERSON,42a22cac-8b59-4cc5-af2a-5f7f70b762f8
75,P0079,Audiart de Font Morla,PERSON,e4e8a1c1-1f12-4934-8eb7-dafd9c12a0d3
76,P0080,Aurianda,PERSON,71b0e0a6-4ebd-4d33-8b28-5afbfd84904c
77,P0081,Austorga de Caors,PERSON,9b66bd66-5381-459b-8bb3-0d39b587dfc0
78,P0082,Austorga de Gascho,PERSON,fdb1c574-d446-40ac-9df4-0673722028c6
79,P0083,Austorga de Lamota,PERSON,ec564eb1-c5c2-4310-bc33-834dc0671a2d
80,P0084,Bartholomeus de Cabanolas,PERSON,d4d9d908-4cfd-4c6b-a0d4-349b2c011dc5
81,P0085,Bartholomeus de Carcassona,PERSON,98567736-2585-4b2e-bfb3-c01515a7fce9
82,P0086,Bartholomeus de Pousaque,PERSON,38fd374c-8b59-4d5b-922d-ca94aa49b1b5
83,P0087,[wife of Bartholomeus de Posaca],PERSON,c23c7970-e7ea-468d-b082-848e48b94eaa
84,P0088,Beneit Ioculator,PERSON,861d0e4a-05f0-41a7-a053-036cf02ac958
85,P0089,Bernardus,PERSON,2c0d92b5-34c0-43c2-9ab4-0fd8df5262c6
86,P0090,Arnaldus Bernardi de Roset,PERSON,f169794d-98e0-428e-b988-298fc8221ed2
87,P0091,Bernardus Arnaldus Ebrard,PERSON,5064f346-bf12-4cc2-b883-60ee349df057
88,P0092,Bernardus Belazer,PERSON,7024d61b-06e8-4afa-bbca-d5b8637fd7cc
89,P0093,Bernardus Bonaldi,PERSON,151c0ae5-b689-45ef-8e10-e2847c745890
90,P0094,Bernardus Bort de Cambisa,PERSON,beb22021-ac0c-461c-83ca-2b0dccd4ac4e
91,P0095,Bernardus Bors,PERSON,c0effa2a-a19b-4e8c-a012-959c394ef564
92,P0096,Bernardus Capel,PERSON,8a485822-738d-4262-b8b1-27f69bb9ff95
93,P0097,Bernardus Claris,PERSON,16fd2030-9c47-4c1e-960a-12bfa8613db4
94,P0098,Bernardus Clavelz,PERSON,6c1bff50-5347-4a54-b124-e15908767d69
95,P0099,Bernardus d'Olms,PERSON,7a4533de-324c-40a6-90bd-a9c191ad3764
96,P0100,Bernardus de Balat,PERSON,ab583649-09d3-415a-b7d2-f0bc95df37ab
97,P0101,Bernardus de Bressolz,PERSON,da87fce5-fe41-4856-926e-13bcb989d205
98,P0102,Bernardus de Caraves,PERSON,8d8c5fb8-a22e-47da-8419-4e9159e9b0f4
99,P0103,Bernardus de Castillo,PERSON,ffc50d69-4a8e-449d-ac8a-0155fa67279d
100,P0104,Bernardus de Caselas,PERSON,7f2b1216-a970-46b6-9030-c93707c59405
101,P0105,Bernardus de Cepfag,PERSON,99d481d1-7f0d-4ff7-bf26-9840106052f3
102,P0106,Bernardus de Gordo,PERSON,dd5a3307-8ed2-42ba-b993-649a4609f49c
103,P0107,Bernardus de La Brossol,PERSON,9c97d3b4-056a-447c-9036-c6ed28796d09
104,P0108,Bernardus de la Capella,PERSON,174f9de3-83dc-48f0-84aa-177ecb7c9d74
105,P0109,Bernardus de Lamota,PERSON,35fc1646-f31b-4b13-8061-8d62c3fa9682
106,P0110,Bernardus de Lasala de Malaveilha,PERSON,ab9cb298-e73a-4ff5-8a37-712787d17422
107,P0111,Bernardus de Las Matras,PERSON,d9a27359-c7c1-4da3-ab3b-7eecbf91000e
108,P0112,Bernardus de Lator,PERSON,e324ec3b-1dd5-4ed2-bb95-6b82889480da
109,P0113,Bernardus de Pezet de Villanova,PERSON,1f7acfaa-1703-4be2-923d-57303dd9642a
110,P0114,Bernardus de Caerci,PERSON,8d0facc1-5878-4885-a0ed-35dc1a596294
111,P0115,Bernardus de Sancto Genesio,PERSON,2da3af94-4c8e-42d8-84b9-55a11a287481
112,P0116,Bernardus de Sapiac,PERSON,af870f36-84c2-4af4-bdc0-c77fc4019caa
113,P0117,Bernardus de Tornaco,PERSON,6cbe7f25-b49a-43b2-b1c0-c9509c410b32
114,P0118,Bernardus de Valcel,PERSON,ee11ca2d-5047-451c-b37f-fdbb1bb9a8ee
115,P0119,Bernardus Joannes Sabater,PERSON,8c7b6ea3-ddcc-4735-8d7e-6130984d04ea
116,P0120,Bernardus del Pozet de Villanova,PERSON,bfcc28a5-17be-4241-ab03-b24ebdd7c593
117,P0121,Bernardus del Poiet,PERSON,d8f5612d-352f-4daa-8702-54a8acc4b371
118,P0122,Bernardus Durans,PERSON,8b8beae0-a38c-4426-8155-9bc2f5382d4e
119,P0123,Bernardus Stephani,PERSON,63aac28c-e1bd-4561-b786-7bdd0b519b63
120,P0124,Bernardus Fabri,PERSON,c765b9a4-332b-47d2-8f0f-a5b5faf4a48c
121,P0125,Bernardus Guiraldi,PERSON,cc2356f0-2f1b-4973-be5d-fbf9897db69f
122,P0126,Bernardus Loquerii,PERSON,a827eb8a-c332-4f62-b25b-afb300ab9ac0
123,P0127,Bernardus Manha,PERSON,ffc9f4e3-e6d8-48a4-98c2-bb4ec3bba047
124,P0128,Bernardus Petrus Clavelz,PERSON,f6962490-662e-4786-a992-ce1a974b6acf
125,P0129,Bernardus Remon,PERSON,beb127fe-fa1c-4850-a8ec-19b5aee42624
126,P0130,Bernardus Raimundi Arquer,PERSON,dd409027-f15e-4b31-9cf5-8ecab2b9b479
127,P0131,Bernardus Ruffy,PERSON,7cb5b93b-fd4a-4918-91f3-29d113bfc893
128,P0132,Bernardus Sabater,PERSON,bff69ffe-f57f-4466-a5ca-60b57b35090d
129,P0133,Bernardus Sancii,PERSON,3e9972db-ad99-4913-a4fc-776481818856
130,P0134,Bernardus Textor de Calciata,PERSON,a3c529cd-0f40-43cf-9d94-3b6eea32701a
131,P0135,Bernardus Tessender,PERSON,d92fd910-3f74-4dc4-9418-7231f2b50be5
132,P0136,Bernardus Vigerii,PERSON,a9e8c237-9921-4d56-b0ac-705bda2dcb50
133,P0137,Bernarda,PERSON,0abdd030-8626-4ede-8bc3-67b5f279df90
134,P0138,Bernarda,PERSON,bf7de074-1e7c-46e4-9c71-d11af36e3388
135,P0139,Bernarda,PERSON,1bed199e-3400-466b-89d0-f0c47c604697
136,P0140,Bernarda,PERSON,df4f74f2-1c8f-4b82-a9ff-bab705207cad
137,P0141,Bernarda,PERSON,3a14a1fe-e863-4147-bf10-298bc7a164f6
138,P0142,Bernarda,PERSON,83e2a4ac-8059-4b2e-8c4b-3d4e832bf569
139,P0143,Bernarda,PERSON,fba34bf2-1f7b-47cb-abee-15d60ced93db
140,P0144,Bernarda de Cassaco,PERSON,51078f27-1064-480b-8313-8286808084e9
141,P0145,Bernarda de Cratern,PERSON,9f7b0f03-c104-4ebc-9395-d83f09741fdb
142,P0146,Bernarda de Lariba,PERSON,aec9b146-9460-47de-9d30-cff2f8aa8d4f
143,P0147,Bernarda de Quatre,PERSON,79816bec-f57a-44ab-b829-8d591487b76f
144,P0148,Bernarda de Ribeira,PERSON,f4de8936-3fda-4f6e-81e0-17c23cfc01d9
145,P0149,Bernarda de Ro,PERSON,a54babd8-0e6b-4261-afd9-67bbda4d59f2
146,P0150,Bernarda de Sancto Juliano,PERSON,daf43142-a00b-4be0-b51b-b3bc1da14042
147,P0151,Bernarda de Valtorel,PERSON,676b5d66-95e9-46a9-9981-482fc63b0ad5
148,P0152,Bernarda Fabrissa,PERSON,5cf2fe3f-0ae7-4cc7-91fd-620c707b8d39
149,P0153,Bernarda Mela,PERSON,66eccf70-5cda-47fe-922e-3fae82bc0683
150,P0154,Bernarda Rubea,PERSON,ea053c68-c99d-4e07-8579-59ea976e4b25
151,P0155,Bertrandus Audeberti,PERSON,f83f0a03-d409-4978-8c68-8946f190ed3f
152,P0156,Bertrandus Auriols,PERSON,642fe0ca-c33f-49fd-9ce6-753faf6a85b2
153,P0157,Bertrandus Bodo,PERSON,315ff4ae-aeae-4a1a-974b-2250d785896d
154,P0158,Bertrandus Breserii,PERSON,ccec733d-5f9b-4eb4-8b3e-893d75242272
155,P0159,Bertrandus de Braulens,PERSON,217e06fd-b763-46a4-a20f-fcfab18fe09c
156,P0160,Bertrandus de Rupe de Montcuquo,PERSON,0e4a3eaa-56cd-4dd6-953b-572fa0b6b3be
157,P0161,Bertrandus de Lamota,PERSON,68f8e58c-763b-4714-89b1-2b71e4269452
158,P0162,Bertrandus de Lautar,PERSON,0585166f-cb1d-45ae-81d7-fc93d68fdb5b
159,P0163,Bertrandus de Lascroa,PERSON,961ea8bb-0b42-4357-8618-8beb3ae6f93e
160,P0164,Bertrandus de Monteacuto,PERSON,ba650d84-5f55-4e90-b0c4-856073a89bbd
161,P0165,Bertrandus de Montepesato,PERSON,b9438391-eb5d-4d82-85bd-1830b6d565f6
162,P0166,Bertrandus de Sancto Claro de Milhac,PERSON,ed0283ac-b544-40d3-8643-06a677edbc1a
163,P0167,Bertrandus de Sancto Genesio,PERSON,58a6ea3a-ed84-4fef-bdf2-1c4f6c3f5c10
164,P0168,Bertrandus de Valeta,PERSON,8d9b7f64-b362-4829-a410-f7d37571958e
165,P0169,Bertranda d'Ayverno,PERSON,84b317eb-fbae-4f6f-a2e4-dae50aa7870c
166,P0170,Bertranda de Cossada,PERSON,a6e01bf0-d4e4-4c05-8a3a-b658ad64d911
167,P0171,Bertranda de Daubanas,PERSON,9fb4af1d-3ce3-4bcf-829d-1e82721c2d34
168,P0172,Bigordana,PERSON,951a1276-3f06-469b-9a38-d98271195401
169,P0173,Bitorta,PERSON,f2dbc42f-c242-4b5f-9e88-12985c80cb58
170,P0174,Blancha,PERSON,49fb0c6d-a23a-418a-b7cc-5d892e4a2507
171,P0175,Bonus de Sapiac,PERSON,cd152829-bfc7-46c1-83e2-aa997d80db4f
172,P0176,Boneta,PERSON,94bf49b5-7883-49b5-b8e7-5d566f75054e
173,P0177,Caerlis de Vilario,PERSON,a5cbe2db-fa84-4be1-92b3-316cdf7c8823
174,P0178,[bishop of Cahors],PERSON,148ed07d-b53c-4534-a2ce-74f006cafe33
175,P0179,Caturcinus Cabatiers,PERSON,742c0a5a-3a5d-46dc-aff0-fde5d5a27ca6
176,P0180,Caturcinus de La Vernha,PERSON,faf2122e-9f2f-497e-89e6-862ec4c5cbfb
177,P0181,Caorcinus de Nautris,PERSON,30f37ef8-4c27-499c-b9cc-56abafb09b75
178,P0182,Caturcinus textor,PERSON,f441542d-95b5-4157-b761-a98fe0cc802d
179,P0183,Caturcinus Rigaudi,PERSON,cac81718-d407-4bb0-8bc2-f06ce706152a
180,P0184,Caercina,PERSON,894d7c05-5e24-46c2-aa51-ecb46d27ced8
181,P0185,Caercina,PERSON,8cd5a490-6e04-491f-9545-e66ca3e2ff5c
182,P0186,Carbonella,PERSON,840b4e95-6f73-403f-88e3-bad3b2abf65c
183,P0187,Cavaler de Biolet,PERSON,f1582bb6-10fc-4743-a1a0-ad45f220f6ce
184,P0188,[Unknown] de Coutes,PERSON,ea8f3618-e723-4493-b05c-df1e0f5b36d1
185,P0189,Coxunta,PERSON,ab90d4c5-bfa5-4f3e-a330-62574edf69fe
186,P0190,Nichier,PERSON,4d9be696-0435-4511-8d2a-b0ed85e74374
187,P0191,[Unknown] del Terret,PERSON,2bfd108d-521b-4151-b845-ae19b5d30799
188,P0192,Domestica,PERSON,e9ec5a74-d6e6-4bd3-90a3-beb652c8f9e2
189,P0193,Domestica de Cabanoles,PERSON,ba50ab50-8b27-483c-a8d2-a74c5c75975b
190,P0194,Donadeu Turto,PERSON,71c7b9e0-2999-40b7-a572-9286f66ce5e1
191,P0195,Dulcia,PERSON,8a03b3aa-3257-43fa-a0ee-b3a55ba310f7
192,P0196,Durantia [Espitalier],PERSON,f45557c2-c976-477e-8910-224cef97df56
193,P0197,[Durandus] Abit,PERSON,6cfec828-e594-41de-a673-51e6839d445c
194,P0198,Durandus de Bosco,PERSON,5d0179eb-59c6-460b-83ba-a624235b3bf4
195,P0199,Duran de Broille,PERSON,2b411b79-ff81-4749-bce4-e52215521839
196,P0200,Duran de Broille,PERSON,95fc6f1d-ace7-4347-9fb8-b5a8d4ec287e
197,P0201,Duran Guillelmus Minaldi,PERSON,6474491b-0025-424f-93d9-de9c4a1a62f1
198,P0202,Durandus Ratier,PERSON,06e5a97b-8e5c-407a-a3fe-64d56556ff91
199,P0203,Durandus Toset,PERSON,8cd31b48-98f2-4b49-ad5c-c789738825cd
200,P0204,Durandus Vairet,PERSON,4753e238-aaa6-44be-b0c3-4e776a048666
201,P0205,Durandus Curto,PERSON,a51749f7-ec70-455a-a7a4-93bae2dac08e
202,P0206,Durandus Roberti,PERSON,73918f02-4c5e-4c18-b555-cf5444bd0d24
203,P0207,Durannus Trohler,PERSON,3d8bd6f4-0214-4d8f-b7b5-a81fdd523f8a
204,P0208,En Gorssas,PERSON,61315557-9ae3-4e57-9ac8-544b2f6124d0
205,P0209,[Unknown] d'[En Ponfaurc],PERSON,3c6c3ba2-b4e2-460c-b8f4-114fc96cabb0
206,P0210,En Rochas,PERSON,5080b44a-ecbd-4c62-8d02-e825667f32fe
207,P0211,Engibaldus,PERSON,a7d48997-5620-4fb1-8840-c17dac060753
208,P0212,Ermengars,PERSON,8b5f561c-dce1-41eb-94da-e1271cfa136a
209,P0213,Ermengarda Estaca,PERSON,55d9dbf6-287a-4a60-8aae-8cfd49c42a58
210,P0214,Stephanus de Bragairac,PERSON,8324c3f5-c709-439a-aedb-fc23a332a49e
211,P0215,Stephanus de Canselada,PERSON,46b35a97-d24b-437e-b3c4-097b8ac31868
212,P0216,Stephanus de Lacomba,PERSON,24bf6ab1-639a-4ac8-9746-54b12f9a2773
213,P0217,Bertrandus de Sancto Genesio Auriols,PERSON,83c774fa-0d6f-4a3b-8e4d-b4d0783bb396
214,P0218,Stephanus de Na Ramunda,PERSON,0c917341-a5ba-4cfb-93cc-280087377d89
215,P0219,Stephanus de Rupeforti,PERSON,43880e7b-25a6-4e78-b913-b8203e088076
216,P0220,Stephanus Fabri,PERSON,b6264db2-74f3-45af-83ae-a8cba1fff17b
217,P0221,Stephanus Folcaut,PERSON,7ddbf36e-3007-4c12-9515-1cc59c6217ef
218,P0222,Stephanus Forcaldi,PERSON,fee93b6b-1b46-444c-8ab3-953de0961c5d
219,P0223,Stephanus Galterii,PERSON,97e43898-fd1d-4a8e-a07a-a10bbd2920b3
220,P0224,Stephanus Gombert,PERSON,b245be20-9883-4a80-9375-a20e2962e7f7
221,P0225,Stephanus Gras,PERSON,1d8632b6-156a-42c2-8395-c4509010bd78
222,P0226,Stephanus Guiraldi,PERSON,5472e59b-8adb-4a02-8119-b6fff9a0896c
223,P0227,Stephanus Mazelers,PERSON,894d51ee-0052-4074-814e-7555245321d4
224,P0228,Stephanus Palmerii,PERSON,8d91fff4-80de-4539-b3ee-fcd09a7e5ba3
225,P0229,Stephanus Raimundi,PERSON,e0120d28-6ba4-4b49-add0-552c80cad942
226,P0230,Stephanus Sobressen,PERSON,cb283504-9723-4736-b6bc-efe6a7e4b4e1
227,P0231,Stephanus Vaires,PERSON,aeb7ed1c-7f3a-4caf-9953-0e0da0c3e74e
228,P0232,Ostaca,PERSON,8a08527d-34fe-44b7-8aea-122b87036031
229,P0233,Fais de Sapiac,PERSON,f213b4f5-9b14-464e-9d6a-e2b59d1f4c69
230,P0234,[Unknown],PERSON,f5f8a0b4-a819-4b40-acc6-a7be9c288fe3
231,P0235,Fabressa de Sapiac,PERSON,49ba779c-4806-4931-898c-fec3fdb1e9b8
232,P0236,Fortanerius de Gordonio,PERSON,dc360b27-533a-4bb4-8a8c-7edf3a3bc3ae
233,P0237,Fulco,PERSON,8560ffd1-f254-4096-adac-07d9704302ba
234,P0238,Fulco de Sorris,PERSON,af56b0d9-f67d-49cb-a11c-e0b62a63732b
235,P0239,Franciscus [clericus],PERSON,467bd36e-74c5-43da-8236-b28a6cbf1ce5
236,P0240,Gallardus d'Auteiac,PERSON,b9e152ea-19aa-454f-995c-b49248a99862
237,P0241,Gaillardus de Narces,PERSON,3dc4ecd4-d17f-4aad-84d8-2be1b3239a3a
238,P0242,Gaillardus de Godor,PERSON,77ae2f95-29c7-4143-a928-57d966c29bd5
239,P0243,Gaillarda,PERSON,89625f12-9c94-4a3f-8b5e-c6ff5f3d156d
240,P0244,Guaillarda,PERSON,1ed8e821-912b-4e57-87cd-cfa399eb7a2e
241,P0245,Gaillarda de Lagarda,PERSON,7272a145-3ccb-4b34-9aa1-451abee8f7aa
242,P0246,Gariels,PERSON,a2f40f0c-0249-4505-9d07-ae94f415df71
243,P0247,Galterius Archambaudi,PERSON,649773c4-1fc3-44c0-8759-4c79a4974cca
244,P0248,Galterius Peregrini,PERSON,25d4bd5d-296a-441c-aab6-3be0350249f2
245,P0249,Garcia de Bonafous,PERSON,bd9ef3fb-da42-4862-ab71-e3e009559da2
246,P0250,Garsen Esquivada,PERSON,fa9ac508-0898-4a65-981e-8051611d8e2f
247,P0251,Garsilio le Corder,PERSON,e48aa200-bddb-4e82-a5f6-49606e093d26
248,P0252,Gauberga de Quillo,PERSON,6ade7e56-0b44-483f-80f6-669818a8f3d9
249,P0253,Gausberga de Senivol,PERSON,51f22761-8977-435c-84ae-5f01d7056a1d
250,P0254,Gaubertus,PERSON,9bed03d6-09ef-4f1b-a416-81b36edd90c5
251,P0255,Gaubertus Carbonelz,PERSON,59fe85ff-365f-42f8-ad25-3f163ff54eeb
252,P0256,Gaubertus d'Auteiac,PERSON,b6310e24-d37c-4c12-a797-ee54aaff4d20
253,P0257,Gaubertus d'Aremeia,PERSON,b3a40805-b2ae-40ad-a58f-fb88e6f7a22e
254,P0258,Gaubertus de Cairol,PERSON,d804515c-1f40-40a9-9447-5d194bf20e56
255,P0259,Gaubertus de La Barra,PERSON,65fde5f0-420b-4b73-b882-d041d123b32a
256,P0260,Gaubertus de Lacosta,PERSON,092ed694-705b-43cf-9a97-0bb74681166e
257,P0261,Gaubert de Mosati,PERSON,ffad2ca0-35b2-4f06-b21b-19d3c544859d
258,P0262,Bertrandus de Gordonio,PERSON,5e54675c-8176-46c2-8de4-7de49ea5f77a
259,P0263,Gaubertus del Clusel,PERSON,31a2a648-7e0f-4e2d-bdd2-2493b004c968
260,P0264,Gaubertus del Cluzel,PERSON,9cc745aa-b522-4fe3-b122-ea0b0ead6ffe
261,P0265,Gaubertus de Podio,PERSON,c9cf7ed7-b790-4e17-8945-23a079aca1d3
262,P0266,Gaubertus Galterii,PERSON,338430c9-1842-42ff-9569-8886692d0d8b
263,P0267,Gaubertus Gaut,PERSON,79e8c405-518d-4a2a-aeb0-a5041d5976ad
264,P0268,Gaubertus Guiralda,PERSON,3880d79e-581c-449f-8115-142341adb448
265,P0269,[mother of Gaubertus Guiralda],PERSON,761b3bfc-bbc6-4bfe-89a7-3a91d3fdc22b
266,P0270,Gaubert Ranulphi,PERSON,692685ba-68f5-488e-bcc4-b32bfddf009f
267,P0271,Gaubert Sicart de Coranda,PERSON,95c1fdb8-4937-446f-bc84-eeecb6fdbcc3
268,P0272,Gaucelma,PERSON,e689b186-0a95-494f-b3b2-a7b4aaf452f5
269,P0273,Gaucelma Faidita,PERSON,ad691963-cd12-4c1c-9f9b-a5d53ba77a1b
270,P0274,Gaucelinus Esquivo,PERSON,6f441746-2cb4-4c4a-9ec1-59153972136c
271,P0275,Geralda,PERSON,ef34dd91-a1ba-43f6-bfff-b9f374e3b929
272,P0276,Geralda,PERSON,a1015a37-6581-4ccf-8d4d-60e3f471237b
273,P0277,Geraldus de Lautarz,PERSON,ca4bb272-4f02-4a8a-9f04-a959d33283e9
274,P0278,Geraldus de Maureg,PERSON,dab64145-6061-4604-a07d-a24fe40a2cc6
275,P0279,Geralda,PERSON,c374b426-bd71-4140-921c-df1d697f46e3
276,P0280,Geralda,PERSON,390afb55-745d-4f95-90cb-8ec235fde730
277,P0281,Geralda,PERSON,5d4391a9-b0ef-4748-ac18-f5f97f72955f
278,P0282,Geralda,PERSON,bd5d15ce-eac8-4e38-aeed-5c6d8a15e0bd
279,P0283,Geralda,PERSON,e5a01375-73c4-4552-8b2b-4836d7e15c0b
280,P0284,Geralda,PERSON,58ee33bd-27ee-40a4-b912-d970077734b9
281,P0285,Geralda,PERSON,d78f7090-e6ea-4681-80da-cd7526db6879
282,P0286,Geralda,PERSON,a9afd70a-d1d8-48ca-bea4-7057752c16c1
283,P0287,Geralda de Biele,PERSON,9192e5c3-3edc-464f-a448-f3ba2f8c55cf
284,P0288,[sister of Geralda de Biele],PERSON,949579bc-4436-476c-a691-53fda5936aac
285,P0289,[niece of Geralda de Biele],PERSON,1f815d76-5bac-48bb-85cf-b9efd6a105e6
